"dataset","tissue","marker","manual_annotation","manual_CLname","manual_CLID","manual_broadtype","gpt4aug3_annotation","gpt4aug3_CLname","gpt4aug3_CLID","gpt4aug3_broadtype","gpt4aug3_agreement","gpt4mar23_annotation","gpt4mar23_CLname","gpt4mar23_CLID","gpt4mar23_broadtype","gpt4mar23_agreement","gpt3.5aug3_annotation","gpt3.5aug3_CLname","gpt3.5aug3_CLID","gpt3.5aug3_broadtype","gpt3.5aug3_agreement","CellMarker2.0_annotation","CellMarker2.0_CLname","CellMarker2.0_CLID","CellMarker2.0_broadtype","CellMarker2.0_agreement","SingleR_annotation","SingleR_CLname","SingleR_CLID","SingleR_broadtype","SingleR_agreement","ScType_annotation","ScType_CLname","ScType_CLID","ScType_broadtype","ScType_agreement"
"tabulasapiens","Spleen","IGHV3-66,IGHV3-53,IGHV3-64D,IGHV3OR16-9,IGKV3D-11,IGKV3-15,TXNDC5,IGHV3-15,IGLV2-5,IGKV3-11","plasmacytoid dendritic cell","plasmacytoid dendritic cell","CL:0000784","dendritic cell","B Cells","B cell","CL:0000236","b cell",0.5,NA,NA,NA,NA,NA,"B Cells / Plasma Cells","plasma cell","CL:0000786","b cell",0.5,"NA",NA,NA,NA,0,"Pre-B_cell_CD34-",NA,NA,"b cell",0.5,"Naive B cells","naive B cell","CL:0000788","b cell",0.5
"tabulasapiens","Spleen","TRGC2,TRDC,MTND1P23,KLRD1,XCL2,ITGAD,B3GNT7,CMC1,CCL5,ADRB1","mature nk t cell","mature NK T cell","CL:0000814","t/nk cell","Natural Killer cells","natural killer cell","CL:0000623","t/nk cell",0.5,NA,NA,NA,NA,NA,"T Cells","T cell","CL:0000084","t/nk cell",0.5,"CD8+ T cell","CD8-positive, alpha-beta T cell","CL:0000625","t/nk cell",0.5,"NK_cell","natural killer cell","CL:0000623","t/nk cell",0.5,"CD8+ NKT-like cells",NA,NA,"t/nk cell",0.5
"tabulasapiens","Spleen","PCLAF,MKI67,ASPM,CCNB2,CEP55,SLC27A2,MND1,UBE2C,MT1E,TPX2","cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell","CL:0000625","t/nk cell","Proliferating cells",NA,NA,NA,0,NA,NA,NA,NA,NA,"Proliferating Cells",NA,NA,NA,0,"Dividing cell",NA,NA,NA,0,"NK_cell","natural killer cell","CL:0000623","t/nk cell",0.5,"Memory CD8+ T cells","CD8-positive, alpha-beta memory T cell","CL:0000909","t/nk cell",0.5
"tabulasapiens","Thymus","IL7R,CD3E,BCL11B,TCF7,FYB1,CD3D,CD69,LEF1,CD3G,ITK","cd4-positive helper t cell","CD4-positive helper T cell","CL:0000492","t/nk cell","T Cell","T cell","CL:0000084","t/nk cell",0.5,NA,NA,NA,NA,NA,"T Cells","T cell","CL:0000084","t/nk cell",0.5,"Activated T cell",NA,NA,"t/nk cell",0.5,"T_cells","T cell","CL:0000084","t/nk cell",0.5,"Memory CD4+ T cells","CD4-positive, alpha-beta memory T cell","CL:0000897","t/nk cell",0.5
"tabulasapiens","Thymus","CTLA4,PTPRCAP,CD3E,FOXP3,IKZF2,ZAP70,TIGIT,RTKN2,LCK,CD7","naive regulatory t cell","naive regulatory T cell","CL:0002677","t/nk cell","T Regulatory Cell","regulatory T cell","CL:0000815","t/nk cell",0.5,NA,NA,NA,NA,NA,"Regulatory T Cells","regulatory T cell","CL:0000815","t/nk cell",0.5,"Early T cell progenitor (ETP)",NA,NA,"progenitor cell",0,"T_cells","T cell","CL:0000084","t/nk cell",0.5,"Memory CD4+ T cells","CD4-positive, alpha-beta memory T cell","CL:0000897","t/nk cell",0.5
"tabulasapiens","Thymus","NLRP6,CD7,SARAF,PBX4,EZR,FAAH2,RGCC,SYTL3,JUND,CREM","t follicular helper cell","T follicular helper cell","CL:0002038","t/nk cell","T Cell","T cell","CL:0000084","t/nk cell",0.5,NA,NA,NA,NA,NA,"Stromal Cells","stromal cell","CL:0000499","stromal cell",0,"Early T cell progenitor (ETP)",NA,NA,"progenitor cell",0,"T_cells","T cell","CL:0000084","t/nk cell",0.5,"Memory CD4+ T cells","CD4-positive, alpha-beta memory T cell","CL:0000897","t/nk cell",0.5
"tabulasapiens","Thymus","CCL4,CCL5,GZMK,NKG7,CST7,CD8A,GZMA,CTSW,DUSP2,CCL4L2","cd8-positive, alpha-beta cytotoxic t cell","CD8-positive, alpha-beta cytotoxic T cell","CL:0000794","t/nk cell","Cytotoxic T Cell","cytotoxic T cell","CL:0000910","t/nk cell",0.5,NA,NA,NA,NA,NA,"Cytotoxic T Cells / Natural Killer Cells","cytotoxic T cell,natural killer cell","CL:0000910,CL:0000623","t/nk cell",0.5,"CD8+ T cell","CD8-positive, alpha-beta T cell","CL:0000625","t/nk cell",0.5,"T_cells","T cell","CL:0000084","t/nk cell",0.5,"Lymphoid cells","lymphocyte","CL:0000542","lymphocyte",0
"tabulasapiens","Thymus","UBE2C,CKAP2L,NEK2,PIMREG,KIF4A,KIF15,DLGAP5,KIF14,PLK1,KIF2C","dn4 thymocyte","DN4 thymocyte","CL:0000808","t/nk cell","Proliferating Cell",NA,NA,NA,0,NA,NA,NA,NA,NA,"Proliferating Cells",NA,NA,NA,0,"NA",NA,NA,NA,0,"T_cells","T cell","CL:0000084","t/nk cell",0.5,"Memory CD4+ T cells","CD4-positive, alpha-beta memory T cell","CL:0000897","t/nk cell",0.5
"tabulasapiens","Thymus","MS4A1,CD79A,HLA-DRA,CD83,CD74,BANK1,BLK,NAPSB,HLA-DPA1,HLA-DPB1","b cell","B cell","CL:0000236","b cell","B Cell","B cell","CL:0000236","b cell",1,NA,NA,NA,NA,NA,"B Cells / Plasma Cells","plasma cell","CL:0000786","b cell",0.5,"Dendritic cell","dendritic cell","CL:0000451","dendritic cell",0.5,"B_cell","B cell","CL:0000236","b cell",1,"Memory B cells","memory B cell","CL:0000787","b cell",0.5
"tabulasapiens","Thymus","KRT19,PRG4,SLPI,KRT8,KRT18,UPK3B,MSLN,OGN,CALB2,MUC16","medullary thymic epithelial cell","medullary thymic epithelial cell","CL:0002365","epithelial cell","Epithelial Cell","epithelial cell","CL:0000066","epithelial cell",0.5,NA,NA,NA,NA,NA,"Epithelial Cells","epithelial cell","CL:0000066","epithelial cell",0.5,"Thymic epithelial cell (TEC)","epithelial cell of thymus","CL:0002293","epithelial cell",0.5,"Fibroblasts","fibroblast","CL:0000057","fibroblast",0,"Mesothelial cells","mesothelial cell","CL:0000077","epithelial cell",0.5
"tabulasapiens","Thymus","DCN,APOD,CFD,MGST1,FBLN1,ADH1B,LUM,SERPINF1,MMP2,C1S","fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblast","fibroblast","CL:0000057","fibroblast",1,NA,NA,NA,NA,NA,"Fibroblasts","fibroblast","CL:0000057","fibroblast",1,"NA",NA,NA,NA,0,"Fibroblasts","fibroblast","CL:0000057","fibroblast",1,"Hepatic stellate cells","hepatic stellate cell","CL:0000632","fibroblast",0.5
"tabulasapiens","Thymus","C1QB,C1QA,CD163,C1QC,TYROBP,FCER1G,RNASE1,MRC1,CTSB,VSIG4","macrophage","macrophage","CL:0000235","macrophage/monocyte","Monocyte","monocyte","CL:0000576","macrophage/monocyte",0.5,NA,NA,NA,NA,NA,"Macrophages","macrophage","CL:0000235","macrophage/monocyte",1,"NA",NA,NA,NA,0,"Macrophage","macrophage","CL:0000235","macrophage/monocyte",1,"Kupffer cells","Kupffer cell","CL:0000091","macrophage/monocyte",0.5
"tabulasapiens","Thymus","ACTA2,TAGLN,TPM2,MYL9,MYH11,TPM1,C11orf96,PPP1R14A,MYLK,CALD1","vascular associated smooth muscle cell","vascular associated smooth muscle cell","CL:0000359","muscle cell","Smooth Muscle Cell","smooth muscle cell","CL:0000192","muscle cell",0.5,NA,NA,NA,NA,NA,"Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",0.5,"Vascular smooth muscle cell(VSMC)","vascular associated smooth muscle cell","CL:0000359","muscle cell",1,"Tissue_stem_cells",NA,NA,"stem cell",0,"Hepatic stellate cells","hepatic stellate cell","CL:0000632","fibroblast",0
"tabulasapiens","Thymus","MZB1,JCHAIN,IGHG1,TXNDC5,IGHG2,DERL3,XBP1,IGHG3,SEC11C,FKBP11","plasma cell","plasma cell","CL:0000786","b cell","Plasma Cell","plasma cell","CL:0000786","b cell",1,NA,NA,NA,NA,NA,"B Cells / Plasma Cells","plasma cell","CL:0000786","b cell",1,"Plasmacytoid dendritic cell(pDC)","plasmacytoid dendritic cell","CL:0000784","dendritic cell",0.5,"B_cell","B cell","CL:0000236","b cell",0.5,"Plasma B cells","plasma cell","CL:0000786","b cell",1
"tabulasapiens","Thymus","ACKR1,PLVAP,AQP1,VWF,PECAM1,RAMP3,OLFM1,IFI27,LIFR,NPDC1","vein endothelial cell","vein endothelial cell","CL:0002543","endothelial cell","Endothelial Cell","endothelial cell","CL:0000115","endothelial cell",0.5,NA,NA,NA,NA,NA,"Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5,"Endothelial cell","endothelial cell","CL:0000115","endothelial cell",0.5,"Endothelial_cells","endothelial cell","CL:0000115","endothelial cell",0.5,"Endothelial","endothelial cell","CL:0000115","endothelial cell",0.5
"tabulasapiens","Thymus","BTNL9,FABP4,CD36,IFI27,VWF,CD300LG,RBP7,SLC9A3R2,ADGRF5,FLT1","capillary endothelial cell","capillary endothelial cell","CL:0002144","endothelial cell","Endothelial Cell","endothelial cell","CL:0000115","endothelial cell",0.5,NA,NA,NA,NA,NA,"Macrophages","macrophage","CL:0000235","macrophage/monocyte",0,"NA",NA,NA,NA,0,"Endothelial_cells","endothelial cell","CL:0000115","endothelial cell",0.5,"Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5
"tabulasapiens","Thymus","TM4SF1,IGFBP3,IFI27,SLC9A3R2,CLDN5,CLEC14A,CAV1,PECAM1,FAM107A,KCTD12","endothelial cell of artery","endothelial cell of artery","CL:1000413","endothelial cell","Endothelial Cell","endothelial cell","CL:0000115","endothelial cell",0.5,NA,NA,NA,NA,NA,"Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5,"Endothelial cell","endothelial cell","CL:0000115","endothelial cell",0.5,"Endothelial_cells","endothelial cell","CL:0000115","endothelial cell",0.5,"Endothelial cell","endothelial cell","CL:0000115","endothelial cell",0.5
"tabulasapiens","Thymus","GNLY,NKG7,KLRD1,GZMB,CCL3,TYROBP,FCER1G,KLRF1,CLIC3,FCGR3A","nk cell","natural killer cell","CL:0000623","t/nk cell","Natural Killer Cell","natural killer cell","CL:0000623","t/nk cell",1,NA,NA,NA,NA,NA,"Cytotoxic T Cells / Natural Killer Cells","cytotoxic T cell,natural killer cell","CL:0000910,CL:0000623","t/nk cell",0.5,"NA",NA,NA,NA,0,"NK_cell","natural killer cell","CL:0000623","t/nk cell",1,"Natural killer  cells","natural killer cell","CL:0000623","t/nk cell",1
"tabulasapiens","Thymus","HBA1,HBD,CA1,AHSP,ALAS2,HBM,SLC4A1,TRIM58,RHAG,GYPB","erythrocyte","erythrocyte","CL:0000232","erythroid cell","Erythrocyte","erythrocyte","CL:0000232","erythroid cell",1,NA,NA,NA,NA,NA,"Erythrocytes / Red Blood Cells","erythrocyte,primitive red blood cell","CL:0000232,CL:0002355","erythroid cell",0.5,"NA",NA,NA,NA,0,"Erythroblast","erythroblast","CL:0000765","erythroid cell",0.5,"Erythroid-like and erythroid precursor cells","erythroid lineage cell,erythroid progenitor cell","CL:0000764,CL:0000038","erythroid cell,progenitor cell",0.5
"tabulasapiens","Thymus","S100A9,S100A8,LYZ,TYROBP,MNDA,CD163,AIF1,VCAN,C5AR1,FCER1G","monocyte","monocyte","CL:0000576","macrophage/monocyte","Macrophage","macrophage","CL:0000235","macrophage/monocyte",0.5,NA,NA,NA,NA,NA,"Macrophages","macrophage","CL:0000235","macrophage/monocyte",0.5,"NA",NA,NA,NA,0,"Monocyte","monocyte","CL:0000576","macrophage/monocyte",1,"Kupffer cells","Kupffer cell","CL:0000091","macrophage/monocyte",0.5
"tabulasapiens","Thymus","MMRN1,NTS,CD9,TFF3,PKHD1L1,EFEMP1,TGM2,PROX1,PPFIBP1,CAVIN2","endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Epithelial Cell","epithelial cell","CL:0000066","epithelial cell",0.5,NA,NA,NA,NA,NA,"Epithelial Cells","epithelial cell","CL:0000066","epithelial cell",0.5,"NA",NA,NA,NA,0,"Endothelial_cells","endothelial cell","CL:0000115","endothelial cell",0.5,"Lymphatic endothelial cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
"tabulasapiens","Thymus","CLEC9A,PPY,AL118508.1,LINC02206,LINC01724,MIR1273H,CEACAM3,CLCN1,AC092809.2,CYP2E1","myeloid dendritic cell","myeloid dendritic cell","CL:0000782","dendritic cell","Dendritic Cell","dendritic cell","CL:0000451","dendritic cell",0.5,NA,NA,NA,NA,NA,"Dendritic Cells","dendritic cell","CL:0000451","dendritic cell",0.5,"Dendritic cell","dendritic cell","CL:0000451","dendritic cell",0.5,"DC","dendritic cell","CL:0000451","dendritic cell",0.5,"Gamma (PP) cells","PP cell","CL:0000696","epithelial cell",0
"tabulasapiens","Thymus","TRAC,TRBC1,RPS10,LDHB,CD3D,BCL11B,CD7,TRBC2,CD48,RPL22","dn3 thymocyte","DN3 thymocyte","CL:0000807","t/nk cell","T Cell","T cell","CL:0000084","t/nk cell",0.5,NA,NA,NA,NA,NA,"T Cells","T cell","CL:0000084","t/nk cell",0.5,"Early T cell progenitor (ETP)",NA,NA,"progenitor cell",0,"T_cells","T cell","CL:0000084","t/nk cell",0.5,"Memory CD4+ T cells","CD4-positive, alpha-beta memory T cell","CL:0000897","t/nk cell",0.5
"tabulasapiens","Thymus","CCL4,CCL5,GZMK,GZMA,NKG7,CST7,DUSP2,TNFAIP3,ID2,KLRB1","dn1 thymic pro-t cell","DN1 thymic pro-T cell","CL:0000894","progenitor cell","Cytotoxic T Cell","cytotoxic T cell","CL:0000910","t/nk cell",0,NA,NA,NA,NA,NA,"Cytotoxic T Cells / Natural Killer Cells","cytotoxic T cell,natural killer cell","CL:0000910,CL:0000623","t/nk cell",0,"NA",NA,NA,NA,0,"T_cells","T cell","CL:0000084","t/nk cell",0,"CD8+ NKT-like cells",NA,NA,"t/nk cell",0
"tabulasapiens","Thymus","IGLC2,IGKC,GPR183,IGHA1,RPS10,AREG,CD48,CXCR4,RPL22,LINC-PINT","innate lymphoid cell","innate lymphoid cell","CL:0001065","innate lymphoid cell","B Cell","B cell","CL:0000236","b cell",0,NA,NA,NA,NA,NA,"B Cells","B cell","CL:0000236","b cell",0,"NA",NA,NA,NA,0,"T_cells","T cell","CL:0000084","t/nk cell",0.5,"Immune system cells",NA,NA,"immune cell",0.5
"tabulasapiens","Thymus","CCL5,GZMK,GZMA,CCL4,CCL3L1,CD8A,CCL4L2,TRGC2,DTHD1,EOMES","cd8-positive, alpha-beta t cell","CD8-positive, alpha-beta T cell","CL:0000625","t/nk cell","Cytotoxic T Cell","cytotoxic T cell","CL:0000910","t/nk cell",0.5,NA,NA,NA,NA,NA,"Cytotoxic T Cells / Natural Killer Cells","cytotoxic T cell,natural killer cell","CL:0000910,CL:0000623","t/nk cell",0.5,"CD8+ T cell","CD8-positive, alpha-beta T cell","CL:0000625","t/nk cell",1,"T_cells","T cell","CL:0000084","t/nk cell",0.5,"Lymphoid cells","lymphocyte","CL:0000542","lymphocyte",0
"tabulasapiens","Thymus","MS4A1,TNFRSF13C,HLA-DRA,BANK1,HLA-DQA1,CD79A,ADAM28,RPL10P9,IRF8,MARCH1","memory b cell","memory B cell","CL:0000787","b cell","B Cell","B cell","CL:0000236","b cell",0.5,NA,NA,NA,NA,NA,"B Cells","B cell","CL:0000236","b cell",0.5,"NA",NA,NA,NA,0,"B_cell","B cell","CL:0000236","b cell",0.5,"Pre-B cells",NA,NA,"b cell",0.5
"tabulasapiens","Thymus","IGHM,IGHD,AL139020.1,MS4A1,CD79A,LINC00926,HLA-DRA,HLA-DQA1,TNFRSF13C,CD79B","naive b cell","naive B cell","CL:0000788","b cell","B Cell","B cell","CL:0000236","b cell",0.5,NA,NA,NA,NA,NA,"B Cells","B cell","CL:0000236","b cell",0.5,"NA",NA,NA,NA,0,"B_cell","B cell","CL:0000236","b cell",0.5,"Pre-B cells",NA,NA,"b cell",0.5
"tabulasapiens","Thymus","CALB2,ANXA8,KLK11,ITLN2,AC245041.2,DSC3,MAL2,RAET1E,PRR15L,LINC02360","mesothelial cell","mesothelial cell","CL:0000077","epithelial cell","Epithelial Cell","epithelial cell","CL:0000066","epithelial cell",0.5,NA,NA,NA,NA,NA,"Cytotoxic T Cells / Natural Killer Cells","cytotoxic T cell,natural killer cell","CL:0000910,CL:0000623","t/nk cell",0,"NA",NA,NA,NA,0,"Fibroblasts","fibroblast","CL:0000057","fibroblast",0,"Epicardial fat cells","epicardial adipocyte","CL:1000309","fat cell",0
"tabulasapiens","Thymus","GNLY,KLRD1,FGFBP2,GZMB,NKG7,GZMA,GZMH,FCRL6,SAMD3,PRF1","mature nk t cell","mature NK T cell","CL:0000814","t/nk cell","Natural Killer Cell","natural killer cell","CL:0000623","t/nk cell",0.5,NA,NA,NA,NA,NA,"Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",0,"NA",NA,NA,NA,0,"NK_cell","natural killer cell","CL:0000623","t/nk cell",0.5,"CD8+ NKT-like cells",NA,NA,"t/nk cell",0.5
"tabulasapiens","Thymus","TNNI2,TNNT3,MYL1,NEB,MYLPF,SAA1,MYBPC1,CKM,TNNC1,CMYA5","fast muscle cell","fast muscle cell","CL:0000190","muscle cell","Muscle Cell","muscle cell","CL:0000187","muscle cell",0.5,NA,NA,NA,NA,NA,"Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0,"NA",NA,NA,NA,0,"Tissue_stem_cells",NA,NA,"stem cell",0,"Natural killer  cells","natural killer cell","CL:0000623","t/nk cell",0
"tabulasapiens","Thymus","AC020656.1,FLT3,LGALS2,CLEC9A,CD1E,MYCL,FCER1A,ST18,RGS18,UPK3A","dendritic cell","dendritic cell","CL:0000451","dendritic cell","Dendritic Cell","dendritic cell","CL:0000451","dendritic cell",1,NA,NA,NA,NA,NA,"Hematopoietic Stem Cells / Progenitor Cells","hematopoietic stem cell,NA","CL:0000037,NA","stem cell,progenitor cell",0,"Dendritic cell","dendritic cell","CL:0000451","dendritic cell",1,"Monocyte","monocyte","CL:0000576","macrophage/monocyte",0.5,"Antigen presenting cells","professional antigen presenting cell","CL:0000145","antigen presenting cell",0.5
"tabulasapiens","Thymus","KIT,SH2D1B,KIAA0087,AC244502.1,XCL1,LINC00299,ABCB5,KLRC1,XCL2,SNAP91","immature natural killer cell","immature natural killer cell","CL:0000823","t/nk cell","Natural Killer Cell","natural killer cell","CL:0000623","t/nk cell",0.5,NA,NA,NA,NA,NA,"T Cells","T cell","CL:0000084","t/nk cell",0.5,"Thymus seeding progenitor (TSP)",NA,NA,"progenitor cell",0,"NK_cell","natural killer cell","CL:0000623","t/nk cell",0.5,"Natural killer  cells","natural killer cell","CL:0000623","t/nk cell",0.5
"tabulasapiens","Thymus","SOX4,CCR9,ARMH1,SLAMF1,VIPR2,ITM2A,CLDN5,LEF1,SATB1,CD3D","thymocyte","thymocyte","CL:0000893","t/nk cell","T cell","T cell","CL:0000084","t/nk cell",0.5,NA,NA,NA,NA,NA,"T Cells","T cell","CL:0000084","t/nk cell",0.5,"NA",NA,NA,NA,0,"T_cells","T cell","CL:0000084","t/nk cell",0.5,"Naive CD8+ T cells","naive thymus-derived CD8-positive, alpha-beta T cell","CL:0000900","t/nk cell",0.5
"tabulasapiens","Thymus","TPSB2,TPSAB1,CPA3,KIT,RHEX,MS4A2,HPGDS,CTSG,HDC,GCSAML","mast cell","mast cell","CL:0000097","granulocyte","Mast Cell","mast cell","CL:0000097","granulocyte",1,NA,NA,NA,NA,NA,"Mast Cells","mast cell","CL:0000097","granulocyte",1,"NA",NA,NA,NA,0,"NK_cell","natural killer cell","CL:0000623","t/nk cell",0.5,"Mast cells","mast cell","CL:0000097","granulocyte",1
"tabulasapiens","Tongue","IGKC,IGLC2,IGHA1,LGALS7B,IGHG1,IGHG2,RNASE1,LRRC75A,TPSB2,S100A7","epithelial cell","epithelial cell","CL:0000066","epithelial cell","Plasma Cells","plasma cell","CL:0000786","b cell",0,NA,NA,NA,NA,NA,"B Cells","B cell","CL:0000236","b cell",0,"NA",NA,NA,NA,0,"Keratinocytes","keratinocyte","CL:0000312","epithelial cell",0.5,"Squamous epithelial cells","squamous epithelial cell","CL:0000076","epithelial cell",0.5
"tabulasapiens","Tongue","DST,XIST,COL17A1,VMP1,AC021078.1,THSD4,EXPH5,LAMB3,DENND2C,CDH3","basal cell","basal cell","CL:0000646","stem cell","Epithelial Cells","epithelial cell","CL:0000066","epithelial cell",0,NA,NA,NA,NA,NA,"Epithelial Cells","epithelial cell","CL:0000066","epithelial cell",0,"NA",NA,NA,NA,0,"Keratinocytes","keratinocyte","CL:0000312","epithelial cell",0,"Hepatoblasts","hepatoblast","CL:0005026","stem cell",0.5
"tabulasapiens","Tongue","SRGN,CXCR4,PTPRC,RGS1,IL7R,GPR183,ARHGDIB,FYB1,STK17B,CD52","immune cell",NA,NA,"immune cell","Lymphocytes","lymphocyte","CL:0000542","lymphocyte",0.5,NA,NA,NA,NA,NA,"T Cells","T cell","CL:0000084","t/nk cell",0.5,"NA",NA,NA,NA,0,"T_cells","T cell","CL:0000084","t/nk cell",0.5,"Memory CD8+ T cells","CD8-positive, alpha-beta memory T cell","CL:0000909","t/nk cell",0.5
"tabulasapiens","Tongue","APOD,C1S,COL1A2,SERPING1,COL6A3,COL6A2,PRELP,COL6A1,MMP2,COL3A1","fibroblast","fibroblast","CL:0000057","fibroblast","Fibroblasts","fibroblast","CL:0000057","fibroblast",1,NA,NA,NA,NA,NA,"Fibroblasts / Extracellular Matrix Components","fibroblast,NA","CL:0000057,NA","fibroblast",0.5,"NA",NA,NA,NA,0,"Tissue_stem_cells",NA,NA,"stem cell",0,"Hepatic stellate cells","hepatic stellate cell","CL:0000632","fibroblast",0.5
"tabulasapiens","Tongue","AQP1,ACKR1,PECAM1,PLVAP,LIFR,ENG,RAMP3,CLEC14A,PCAT19,NUAK1","vein endothelial cell","vein endothelial cell","CL:0002543","endothelial cell","Blood Vessel Endothelial Cells","blood vessel endothelial cell","CL:0000071","endothelial cell",0.5,NA,NA,NA,NA,NA,"Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5,"NA",NA,NA,NA,0,"Endothelial_cells","endothelial cell","CL:0000115","endothelial cell",0.5,"Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5
"tabulasapiens","Tongue","RGS5,LMOD1,PDGFRB,PPP1R14A,GJA4,COX4I2,C1QTNF1,KCNE4,COL14A1,LGI4","pericyte cell","pericyte","CL:0000669","pericyte","Pericytes","pericyte","CL:0000669","pericyte",1,NA,NA,NA,NA,NA,"Smooth Muscle Cells","smooth muscle cell","CL:0000192","muscle cell",0,"NA",NA,NA,NA,0,"Tissue_stem_cells",NA,NA,"stem cell",0,"Hepatic stellate cells","hepatic stellate cell","CL:0000632","fibroblast",0.5
"tabulasapiens","Tongue","PROX1,PKHD1L1,SCN3B,RELN,CHRDL1,ART4,FLT4,KLHL4,AC007998.3,PIEZO2","endothelial cell of lymphatic vessel","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell","Lymphatic Endothelial Cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1,NA,NA,NA,NA,NA,"Neural Crest Cells / Schwann Cells","neural crest cell,Schwann cell","CL:0011012,CL:0002573","embryonic cell,glial cell",0,"NA",NA,NA,NA,0,"Endothelial_cells","endothelial cell","CL:0000115","endothelial cell",0.5,"Lymphatic endothelial cells","endothelial cell of lymphatic vessel","CL:0002138","endothelial cell",1
"tabulasapiens","Tongue","SEMA3G,AC004947.1,PRDM16,SSTR1,AC004540.2,LINC00982,ADRA2C,DLL4,GJA5,BMX","endothelial cell of artery","endothelial cell of artery","CL:1000413","endothelial cell","Blood Vessel Endothelial Cells","blood vessel endothelial cell","CL:0000071","endothelial cell",0.5,NA,NA,NA,NA,NA,"Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5,"NA",NA,NA,NA,0,"Endothelial_cells","endothelial cell","CL:0000115","endothelial cell",0.5,"Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5
"tabulasapiens","Tongue","CLEC14A,ADGRF5,CD34,ADGRL4,CDH5,PODXL,KDR,JCAD,GPIHBP1,ROBO4","capillary endothelial cell","capillary endothelial cell","CL:0002144","endothelial cell","Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5,NA,NA,NA,NA,NA,"Endothelial Cells","endothelial cell","CL:0000115","endothelial cell",0.5,"NA",NA,NA,NA,0,"Endothelial_cells","endothelial cell","CL:0000115","endothelial cell",0.5,"Endothelial cells","endothelial cell","CL:0000115","endothelial cell",0.5
"tabulasapiens","Tongue","MYF5,KLHL41,SGCA,NPTX2,PAX7,CHRNA1,CADM2,MYF6,DLK1,MUSK","tongue muscle cell","tongue muscle cell","CL:0002673","muscle cell","Muscle Cells","muscle cell","CL:0000187","muscle cell",0.5,NA,NA,NA,NA,NA,"Muscle Cells","muscle cell","CL:0000187","muscle cell",0.5,"NA",NA,NA,NA,0,"Tissue_stem_cells",NA,NA,"stem cell",0,"Satellite cells","skeletal muscle satellite cell","CL:0000594","progenitor cell",0
"tabulasapiens","Tongue","LGALS7,KRT4,MAL,IVL,SULT2B1,RPS4Y1,CRYAB,SPINK5,IGFL1,CLIC3","keratinocyte","keratinocyte","CL:0000312","epithelial cell","Keratinocytes","keratinocyte","CL:0000312","epithelial cell",1,NA,NA,NA,NA,NA,"Keratinocytes / Epithelial Cells","keratinocyte,epithelial cell","CL:0000312,CL:0000066","epithelial cell",0.5,"NA",NA,NA,NA,0,"Keratinocytes","keratinocyte","CL:0000312","epithelial cell",1,"Squamous epithelial cells","squamous epithelial cell","CL:0000076","epithelial cell",0.5
"tabulasapiens","Tongue","CDH19,PLP1,MYOT,SOX10,SHC4,AZGP1,FOXD3,FOXD3-AS1,FABP7,CTXND1","schwann cell","Schwann cell","CL:0002573","glial cell","Schwann Cells","Schwann cell","CL:0002573","glial cell",1,NA,NA,NA,NA,NA,"Neural Crest Cells / Schwann Cells","neural crest cell,Schwann cell","CL:0011012,CL:0002573","embryonic cell,glial cell",0.5,"NA",NA,NA,NA,0,"Neurons","neuron","CL:0000540","neuron",0,"ENS glia",NA,NA,"glial cell",0.5
"tabulasapiens","Trachea","LYZ,C1QA,C1QB,C1QC,CYBB,AIF1,MS4A7,GPR183,TYROBP,HLA-DPB1","macrophage","macrophage","CL:0000235","macrophage/monocyte","Macrophage","macrophage","CL:0000235","macrophage/monocyte",1,NA,NA,NA,NA,NA,"Macrophages / Dendritic Cells","macrophage,dendritic cell","CL:0000235,CL:0000451","macrophage/monocyte,dendritic cell",0.5,"NA",NA,NA,NA,0,"Monocyte","monocyte","CL:0000576","macrophage/monocyte",0.5,"Kupffer cells","Kupffer cell","CL:0000091","macrophage/monocyte",0.5
