originalname,Clname,CLID,type
antigen presenting cell,professional antigen presenting cell,CL:0000145,antigen presenting cell
early embryonic cell,early embryonic cell (metazoa),CL:0000007,embryonic cell
antigen-presenting cell (dendritic cells or macrophages),"dendritic cell,macrophage","CL:0000451,CL:0000235","dendritic cell,macrophage/monocyte"
dermal fibroblasts,NA,NA,fibroblast
t lymphocytes or dendritic cell,"T cell,dendritic cell","CL:0000084,CL:0000451","t/nk cell,dendritic cell"
acinar cell of the pancreas,pancreatic acinar cell,CL:0002064,epithelial cell
activated memory b cell,memory B cell,CL:0000787,b cell
adipocyte,fat cell,CL:0000136,fat cell
adipocytes,fat cell,CL:0000136,fat cell
adipose tissue,NA,NA,adipose cell
adrenal cell,NA,NA,adrenal gland cell
adrenal cortex cell,adrenal cortex chromaffin cell,CL:1000427,epithelial cell
adrenal cortical cell,cortical cell of adrenal gland,CL:0002097,epithelial cell
adrenal gland inflammatory cell,adrenal gland glandular cell,CL:1001601,epithelial cell
adrenocortical cell,cortical cell of adrenal gland,CL:0002097,epithelial cell
alveolar cell,NA,NA,lung cell
alveolar epithelial type ii cell,type II pneumocyte,CL:0002063,epithelial cell
alveolar type ii cell,type II pneumocyte,CL:0002063,epithelial cell
antigen presenting cell (rps high),professional antigen presenting cell,CL:0000145,antigen presenting cell
antigen-presenting cell,professional antigen presenting cell,CL:0000145,antigen presenting cell
astrocyte,astrocyte,CL:0000127,astrocyte
astrocytes,astrocyte,CL:0000127,astrocyte
at2 cell,type II pneumocyte,CL:0002063,epithelial cell
b cell,B cell,CL:0000236,b cell
b cell (plasmocyte),plasma cell,CL:0000786,b cell
"b cell, t cells, cytotoxic t cells","B cell,T cell,cytotoxic T cell","CL:0000236,CL:0000084,CL:0000910","b cell,t/nk cell"
b lymphocytes,B cell,CL:0000236,b cell
basal cell,basal cell,CL:0000646,stem cell
basal cell in skin,basal cell of epidermis,CL:0002187,epithelial cell
basal cell of epidermis,basal cell of epidermis,CL:0002187,epithelial cell
basal epithelial cell,basal cell,CL:0000646,stem cell
basophils,mature basophil,CL:0000043,granulocyte
breast ductal cell,NA,NA,breast cell
breast epithelial cell,mammary gland epithelial cell,CL:0002327,epithelial cell
breast luminal epithelial cell,luminal epithelial cell of mammary gland,CL:0002326,epithelial cell
bronchiolar cell,club cell,CL:0000158,epithelial cell
brown adipocyte cell,brown fat cell,CL:0000449,fat cell
brown adipocytes,brown fat cell,CL:0000449,fat cell
capillary endothelial cell,capillary endothelial cell,CL:0002144,endothelial cell
cardiac muscle cell,cardiac muscle cell,CL:0000746,muscle cell
cardiomyocytes,cardiac muscle cell,CL:0000746,muscle cell
cartilage cell,chondrocyte,CL:0000138,stromal cell
cb cd34+,NA,NA,NA
cd4 t cell,"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell
cd4 th cell,CD4-positive helper T cell,CL:0000492,t/nk cell
cd4+ t cell,"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell
cd8 t cell,"CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell
cd8+ t cell,"CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell
chondrocyte,chondrocyte,CL:0000138,stromal cell
chondrocytes,chondrocyte,CL:0000138,stromal cell
ciliated cell,ciliated cell,CL:0000064,ciliated cell
clara cell,club cell,CL:0000158,epithelial cell
club cell,club cell,CL:0000158,epithelial cell
colon cancer cell,NA,NA,malignant cell
colon epithelial cell,colon epithelial cell,CL:0011108,epithelial cell
colonocyte (mature colon epithelial cell),colon epithelial cell,CL:0011108,epithelial cell
colonocytes,colon epithelial cell,CL:0011108,epithelial cell
cumulus cell,cumulus cell,CL:0000711,epithelial cell
cycling cell,NA,NA,NA
cytotoxic t cell,cytotoxic T cell,CL:0000910,t/nk cell
cytotoxic t cell / natural killer cells,"cytotoxic T cell,natural killer cell","CL:0000910,CL:0000623",t/nk cell
decidual stromal cell,decidual cell,CL:2000002,stromal cell
dendritic cell,dendritic cell,CL:0000451,dendritic cell
"dendritic cell, b cells, t cells","dendritic cell,b cell,t cell","CL:0000451,CL:0000236,CL:0000084","dendritic cell,b cell,t/nk cell"
distal convoluted tubule cell,epithelial cell of early distal convoluted tubule,CL:4030016,epithelial cell
egg cell,egg cell,CL:0000025,germ cell
embryonic stem cell,embryonic stem cell,CL:0002322,stem cell
endocrine cell,endocrine cell,CL:0000163,secretory cell
endothelial cell,endothelial cell,CL:0000115,endothelial cell
endothelial cell (apc),endothelial cell,CL:0000115,endothelial cell
endothelial cell (endothelial to mesenchymal transition),valve endothelial cell,CL:4030033,endothelial cell
endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,endothelial cell
endothelial cell (vascular),endothelial cell of vascular tree,CL:0002139,endothelial cell
enterocyte,enterocyte,CL:0000584,epithelial cell
enterocyte progenitor,NA,NA,progenitor cell
enterocytes,enterocyte,CL:0000584,epithelial cell
enteroendocrine cell,enteroendocrine cell,CL:0000164,secretory cell
eosinophil,eosinophil,CL:0000771,granulocyte
epidermal cell,epidermal cell,CL:0000362,epithelial cell
epidermal cell (keratinocyte),keratinocyte,CL:0000312,epithelial cell
epidermal keratinocytes,keratinocyte,CL:0000312,epithelial cell
epithelial cell,epithelial cell,CL:0000066,epithelial cell
epithelial cell (alveolar type i),type I pneumocyte,CL:0002062,epithelial cell
epithelial cell (alveolar type ii),type II pneumocyte,CL:0002063,epithelial cell
epithelial cell (basal keratinocyte),basal cell,CL:0000646,stem cell
epithelial cell (basal),basal cell,CL:0000646,stem cell
epithelial cell (brush border),brush border epithelial cell,CL:0000239,epithelial cell
epithelial cell (ciliated),ciliated epithelial cell,CL:0000067,epithelial cell
epithelial cell (club),club cell,CL:0000158,epithelial cell
epithelial cell (cornified keratinocyte),keratinocyte,CL:0000312,epithelial cell
epithelial cell (hillock),hillock cell,CL:4030024,epithelial cell
epithelial cell (intermediated),epithelial cell,CL:0000066,epithelial cell
epithelial cell (intestine or liver),intestinal epithelial cell,CL:0002563,epithelial cell
epithelial cell (luminal),NA,NA,epithelial cell
epithelial cell (mature keratinocyte),keratinocyte,CL:0000312,epithelial cell
epithelial cell (squamous),squamous epithelial cell,CL:0000076,epithelial cell
epithelial cell (suprabasal keratinocyte),keratinocyte,CL:0000312,epithelial cell
epithelial cell (suprabasal),NA,NA,epithelial cell
epithelial cell of proximal tubule,epithelial cell of proximal tubule,CL:0002306,epithelial cell
erythroblast,erythroblast,CL:0000765,erythroid cell
erythroblasts,erythroblast,CL:0000765,erythroid cell
erythrocytes,erythrocyte,CL:0000232,erythroid cell
erythroid cell,erythroid lineage cell,CL:0000764,erythroid cell
erythroid progenitor,erythroid progenitor cell,CL:0000038,progenitor cell
erythroid progenitor cell,erythroid progenitor cell,CL:0000038,progenitor cell
erythroid progenitor cell (rp high),erythroid progenitor cell,CL:0000038,progenitor cell
esophageal squamous epithelial cell,esophagus non-keratinized squamous epithelial cell,CL:0009096,epithelial cell
exhausted t cell,exhausted T cell,CL:0011025,t/nk cell
fallopian tube cell,NA,NA,fallopian tube cell
fasciculata cell,type II cell of adrenal cortex,CL:0002136,epithelial cell
fetal acinar cell,acinar cell,CL:0000622,epithelial cell
fetal chondrocyte,chondrocyte,CL:0000138,stromal cell
fetal endocrine cell,endocrine cell,CL:0000163,secretory cell
fetal enterocyte,enterocyte,CL:0000584,epithelial cell
fetal epithelial progenitor,NA,NA,progenitor cell
fetal fibroblast,fibroblast,CL:0000057,fibroblast
fetal mesenchymal progenitor,mesenchymal cell,CL:0008019,mesenchymal cell
fetal neuron,neuron,CL:0000540,neuron
fetal skeletal muscle cell,cell of skeletal muscle,CL:0000188,muscle cell
fetal stromal cell,stromal cell,CL:0000499,stromal cell
fibroblast,fibroblast,CL:0000057,fibroblast
fibroblast cell,fibroblast,CL:0000057,fibroblast
fibroblasts,fibroblast,CL:0000057,fibroblast
fibroblasts/mesenchymal stem cell,"fibroblast,mesenchymal stem cell","CL:0000057,CL:0000134","fibroblast,stem cell"
fibroblasts/muscle cell,"fibroblast,muscle cell","CL:0000057,CL:0000187","fibroblast,muscle cell"
fibroblasts/neurons,"fibroblast,neuron","CL:0000057,CL:0000540","fibroblast,neuron"
gamma delta t cell,gamma-delta T cell,CL:0000798,t/nk cell
gastric cell,NA,NA,stomach cell
gastric chief cell,peptic cell,CL:0000155,epithelial cell
gastric endocrine cell,enteroendocrine cell,CL:0000164,secretory cell
gastric glands,NA,NA,stomach cell
gastric mucosa cell,surface mucosal cell of stomach,CL:0002182,epithelial cell
gastric mucosal cell,surface mucosal cell of stomach,CL:0002182,epithelial cell
gastric mucous cell,mucous cell of stomach,CL:0002180,epithelial cell
gastric parietal cell,parietal cell,CL:0000162,epithelial cell
gastric zymogenic epithelial cell,peptic cell,CL:0000155,epithelial cell
gd t,gamma-delta T cell,CL:0000798,t/nk cell
glioblastoma cell,NA,NA,malignant cell
goblet cell,goblet cell,CL:0000160,epithelial cell
granulocytes,granulocyte,CL:0000094,granulocyte
granulosa cell,granulosa cell,CL:0000501,epithelial cell
helper t cell,helper T cell,CL:0000912,t/nk cell
hepatic stellate cell,hepatic stellate cell,CL:0000632,fibroblast
hepatocyte,hepatocyte,CL:0000182,epithelial cell
hepatocyte/endodermal cell,"hepatocyte,endodermal cell","CL:0000182,CL:0000223","epithelial cell,embryonic cell"
hepatocytes,hepatocyte,CL:0000182,epithelial cell
hesc,embryonic stem cell,CL:0002322,stem cell
humerus chondrocytes,chondrocyte,CL:0000138,stromal cell
immature sertoli cell (pre-sertoli cell),NA,NA,epithelial cell
immune (alveolar macrophage),alveolar macrophage,CL:0000583,macrophage/monocyte
immune (b cell),B cell,CL:0000236,b cell
immune (dc),dendritic cell,CL:0000451,dendritic cell
immune (dc/macrophage),"dendritic cell,macrophage","CL:0000451,CL:0000235","dendritic cell,macrophage/monocyte"
immune (langerhans),Langerhans cell,CL:0000453,dendritic cell
immune (mast cell),mast cell,CL:0000097,granulocyte
immune (nk cell),natural killer cell,CL:0000623,t/nk cell
immune (t cell),T cell,CL:0000084,t/nk cell
immune cell,NA,NA,immune cell
"immune cell, b cells",B cell,CL:0000236,b cell
innate lymphoid cell (ilcs),innate lymphoid cell,CL:0001065,innate lymphoid cell
intercalated cell,renal intercalated cell,CL:0005010,epithelial cell
intercalated cell of collecting duct,kidney collecting duct intercalated cell,CL:1001432,epithelial cell
interconnecting tubule cell,kidney tubule cell,CL:1000507,epithelial cell
intestinal epithelial cell,intestinal epithelial cell,CL:0002563,epithelial cell
keratinocytes,keratinocyte,CL:0000312,epithelial cell
kidney cell,kidney cell,CL:1000497,kidney cell
kidney collecting duct cell,kidney collecting duct cell,CL:1001225,kidney cell
kidney epithelial,kidney epithelial cell,CL:0002518,epithelial cell
kidney intercalated cell,kidney connecting tubule intercalated cell,CL:4030019,epithelial cell
kidney proximal tubules,epithelial cell of proximal tubule,CL:0002306,epithelial cell
kidney tubular cell,kidney tubule cell,CL:1000507,epithelial cell
kidney tubule cell,kidney tubule cell,CL:1000507,epithelial cell
leiomyocytes,NA,NA,muscle cell
leydig cell,Leydig cell,CL:0000178,interstitial cell
liver cell,NA,NA,liver cell
loop of henle,kidney loop of Henle epithelial cell,CL:1000909,epithelial cell
luminal cell,NA,NA,epithelial cell
luminal cell of the mammary gland,luminal epithelial cell of mammary gland,CL:0002326,epithelial cell
luteal cell,luteal cell,CL:0000175,stromal cell
m2 macrophage,alternatively activated macrophage,CL:0000890,macrophage/monocyte
macrophage,macrophage,CL:0000235,macrophage/monocyte
macrophages,macrophage,CL:0000235,macrophage/monocyte
macrophages / microglia,"macrophage,microglial cell","CL:0000235,CL:0000129","macrophage/monocyte,microglia"
"macrophages, microglia","macrophage,microglial cell","CL:0000235,CL:0000129","macrophage/monocyte,microglia"
malignant b cell,NA,NA,malignant cell
malignant cell,malignant cell,CL:0001064,malignant cell
mammary gland cell,NA,NA,breast cell
mammary gland epithelial cell,mammary gland epithelial cell,CL:0002327,epithelial cell
mast cell,mast cell,CL:0000097,granulocyte
melanocyte,melanocyte,CL:0000148,melanocyte
melanocytes,melanocyte,CL:0000148,melanocyte
memory b cell,memory B cell,CL:0000787,b cell
mesc,embryonic stem cell,CL:0002322,stem cell
mesenchymal cell,mesenchymal cell,CL:0008019,mesenchymal cell
mesothelial cell,mesothelial cell,CL:0000077,epithelial cell
microglia,microglial cell,CL:0000129,microglia
microglia cell,microglial cell,CL:0000129,microglia
microglial cell,microglial cell,CL:0000129,microglia
monocyte,monocyte,CL:0000576,macrophage/monocyte
monocytes,monocyte,CL:0000576,macrophage/monocyte
"monocytes, macrophages","monocyte,macrophage","CL:0000576,CL:0000235",macrophage/monocyte
monocytes/macrophages,"monocyte,macrophage","CL:0000576,CL:0000235",macrophage/monocyte
monocytes/macrophages or dendritic cell,"monocyte,macrophage,dendritic cell","CL:0000576,CL:0000235,CL:0000451","macrophage/monocyte,dendritic cell"
monocytes/ribosome (no cell type),monocyte,CL:0000576,macrophage/monocyte
motor neurons,motor neuron,CL:0000100,neuron
msc (cultured),mesenchymal stem cell,CL:0000134,stem cell
mucous cell,NA,NA,mucosal cell
muscle cell,muscle cell,CL:0000187,muscle cell
myeloid cell,myeloid cell,CL:0000763,myeloid cell
myeloid progenitor cell,myeloid lineage restricted progenitor cell,CL:0000839,progenitor cell
myeloids,myeloid cell,CL:0000763,myeloid cell
myoblast,myoblast,CL:0000056,progenitor cell
myoblast cell,myoblast,CL:0000056,progenitor cell
myocyte,NA,NA,muscle cell
"myocyte (cardiac, cytoplasmic)",cardiac muscle cell,CL:0000746,muscle cell
myocyte (cardiac),cardiac muscle cell,CL:0000746,muscle cell
myocyte (nmj-rich),NA,NA,muscle cell
"myocyte (sk. muscle, cytoplasmic)",muscle cell,CL:0000187,muscle cell
myocyte (sk. muscle),muscle cell,CL:0000187,muscle cell
myocyte (smooth muscle),smooth muscle cell,CL:0000192,muscle cell
myocytes,muscle cell,CL:0000187,muscle cell
myoepithelial (basal),myoepithelial cell,CL:0000185,epithelial cell
myofibroblast,myofibroblast cell,CL:0000186,myofibroblast cell
myofibroblasts,myofibroblast cell,CL:0000186,myofibroblast cell
myogenic precursor cell,NA,NA,progenitor cell
natural killer (nk) cell,natural killer cell,CL:0000623,t/nk cell
natural killer cell,natural killer cell,CL:0000623,t/nk cell
natural killer t cell,mature NK T cell,CL:0000814,t/nk cell
neural progenitor cell,neural progenitor cell,CL:0011020,progenitor cell
neuroendocrine,neuroendocrine cell,CL:0000165,epithelial cell
neuroendocrine cell,neuroendocrine cell,CL:0000165,epithelial cell
neuron,neuron,CL:0000540,neuron
neuronal cell,neuron,CL:0000540,neuron
neuronal cell (mostly),neuron,CL:0000540,neuron
neurons,neuron,CL:0000540,neuron
neutrophil,neutrophil,CL:0000775,granulocyte
neutrophil (rps high),neutrophil,CL:0000775,granulocyte
neutrophils,neutrophil,CL:0000775,granulocyte
nk,natural killer cell,CL:0000623,t/nk cell
nk cell,natural killer cell,CL:0000623,t/nk cell
nk/t cell,"natural killer cell,T cell","CL:0000623,CL:0000084",t/nk cell
non-ciliated epithelial cell,NA,NA,epithelial cell
non-malignant b cell,B cell,CL:0000236,b cell
oligo,oligodendrocyte,CL:0000128,oligodendrocyte
oligodendrocyte,oligodendrocyte,CL:0000128,oligodendrocyte
oligodendrocytes,oligodendrocyte,CL:0000128,oligodendrocyte
oocytes,oocyte,CL:0000023,germ cell
oral epithelial cell,oral mucosa squamous cell,CL:1001576,epithelial cell
osteoblast,osteoblast,CL:0000062,osteoblast
osteoblasts,osteoblast,CL:0000062,osteoblast
osteoclasts,osteoblast,CL:0000062,osteoblast
ovarian cancer cell,NA,NA,malignant cell
ovarian granulosa cell,granulosa cell,CL:0000501,epithelial cell
ovarian stroma cell,NA,NA,stromal cell
pancreas exocrine cell,pancreas exocrine glandular cell,CL:1001599,epithelial cell
pancreatic acinar cell,pancreatic acinar cell,CL:0002064,epithelial cell
pancreatic cell,NA,NA,pancreatic cell
pancreatic islet cell,NA,NA,pancreatic cell
pancreatic islets,NA,NA,pancreatic cell
paneth cell,paneth cell,CL:0000510,epithelial cell
parathyroid cell,parathyroid glandular cell,CL:1001593,epithelial cell
parotid gland acinar cell,acinar cell of salivary gland,CL:0002623,epithelial cell
pericyte/smc,"pericyte,smooth muscle cell","CL:0000669,CL:0000192","pericyte,muscle cell"
pericytes,pericyte,CL:0000669,pericyte
placenta endodermal cell,NA,NA,embryonic cell
plasma cell,plasma cell,CL:0000786,b cell
platelets,platelet,CL:0000233,platelet
preimplantation embryo cell,NA,NA,embryonic cell
premeiotic germ cell,NA,NA,germ cell
primordial germ cell,primordial germ cell,CL:0000670,germ cell
principal cell of cortical collecting duct,kidney cortex collecting duct principal cell,CL:1000714,epithelial cell
proliferating myocyte,NA,NA,muscle cell
proliferating t cell,NA,NA,t/nk cell
proliferative neuron,NA,NA,neuron
prostate epithelial cell,epithelial cell of prostate,CL:0002231,epithelial cell
prostate epithelial secretory cell,NA,NA,epithelial cell
prostate gland cell,NA,NA,prostate cell
prostate luminal cell,luminal cell of prostate epithelium,CL:0002340,epithelial cell
proximal tubular cell,epithelial cell of proximal tubule,CL:0002306,epithelial cell
proximal tubule brush border cell,brush border cell of the proximal tubule,CL:0002307,epithelial cell
proximal tubule cell,epithelial cell of proximal tubule,CL:0002306,epithelial cell
proximal tubule progenitor,NA,NA,progenitor cell
pulmonary alveolar type i cell,type I pneumocyte,CL:0002062,epithelial cell
pulmonary alveolar type ii cell,type II pneumocyte,CL:0002063,epithelial cell
pulmonary epithelial cell,epithelial cell of lung,CL:0000082,epithelial cell
pulmonary vascular endothelial cell,NA,NA,endothelial cell
rectal glandular cell,rectum glandular cell,CL:1001595,epithelial cell
red blood cell,primitive red blood cell,CL:0002355,erythroid cell
regulatory t cell,regulatory T cell,CL:0000815,t/nk cell
renal cell,kidney cell,CL:1000497,kidney cell
renal tubular cell,NA,NA,kidney cell
retinal pigment epithelial cell,retinal pigment epithelial cell,CL:0002586,epithelial cell
ribosomal cell,NA,NA,NA
ribosome,NA,NA,NA
ribosome (no cell type),NA,NA,NA
ribosomes,NA,NA,NA
ribosomes/ribosomal cell,NA,NA,NA
rpe cell (retinal pigment epithelium cells),retinal pigment epithelial cell,CL:0002586,epithelial cell
salivary gland cell,salivary gland cell,CL:0009005,salivary gland cell
satellite cell,skeletal muscle satellite cell,CL:0000594,progenitor cell
schwann cell,Schwann cell,CL:0002573,glial cell
sebaceous duct cell,NA,NA,sebaceous gland cell
sebaceous gland cell,sebaceous gland cell,CL:2000021,sebaceous gland cell
sebocytes,sebum secreting cell,CL:0000317,secretory cell
secretory alveoli cell,NA,NA,secretory cell
sertoli cell,Sertoli cell,CL:0000216,epithelial cell
sialomucin-secreting cell of the uterus,NA,NA,secretory cell
sinusoidal endothelial cell,endothelial cell of hepatic sinusoid,CL:1000398,endothelial cell
skeletal muscle cell,cell of skeletal muscle,CL:0000188,muscle cell
"skeletal muscle cell, adipocytes","cell of skeletal muscle,fat cell","CL:0000188,CL:0000136","muscle cell,fat cell"
skeletal muscle fibers,skeletal muscle fiber,CL:0008002,muscle cell
smooth muscle cell,smooth muscle cell,CL:0000192,muscle cell
"smooth muscle cell, endothelial cells","smooth muscle cell,endothelial cell","CL:0000192,CL:0000115","muscle cell,endothelial cell"
"smooth muscle cell, fibroblasts","smooth muscle cell,fibroblast","CL:0000192,CL:0000057","muscle cell,fibroblast"
smooth muscle cell/fibroblasts,"smooth muscle cell,fibroblast","CL:0000192,CL:0000057","muscle cell,fibroblast"
sperm cell,sperm,CL:0000019,germ cell
spermatids,spermatid,CL:0000018,germ cell
spermatocytes,spermatocyte,CL:0000017,germ cell
spermatogonia,spermatogonium,CL:0000020,germ cell
spermatogonial stem cell,male germ line stem cell (sensu Vertebrata),CL:0000089,stem cell
spongiotrophoblast,spongiotrophoblast cell,CL:0002499,extraembryonic cell
squamous epithelial cell,squamous epithelial cell,CL:0000076,epithelial cell
steroidogenic cell,Leydig cell,CL:0000178,interstitial cell
stomach cell,NA,NA,stomach cell
stomach epithelial cell,epithelial cell of stomach,CL:0002178,epithelial cell
stomach lining cell,epithelial cell of stomach,CL:0002178,epithelial cell
stratified epithelial cell,stratified epithelial cell,CL:0000079,epithelial cell
stratified squamous epithelial cell,stratified squamous epithelial cell,CL:0000240,epithelial cell
stromal cell,stromal cell,CL:0000499,stromal cell
sweat gland cell,epithelial cell of sweat gland,CL:1000448,epithelial cell
t and b cell,"T cell,B cell","CL:0000084,CL:0000236","t/nk cell,b cell"
t cell,T cell,CL:0000084,t/nk cell
"t cell, b cells","T cell,B cell","CL:0000084,CL:0000236","t/nk cell,b cell"
t lymphocytes,T cell,CL:0000084,t/nk cell
t-cell,T cell,CL:0000084,t/nk cell
t-regulatory cell,regulatory T cell,CL:0000815,t/nk cell
taste bud cell,NA,NA,taste bud cell
testicular cell,NA,NA,testis cell
testicular sertoli cell,Sertoli cell,CL:0000216,epithelial cell
theca cell,theca cell,CL:0000503,stromal cell
thyroid cell,NA,NA,thyroid cell
thyroid follicular cell,thyroid follicular cell,CL:0002258,epithelial cell
tracheal cell,NA,NA,tracheal cell
treg,regulatory T cell,CL:0000815,t/nk cell
tregs,regulatory T cell,CL:0000815,t/nk cell
trophectodermal cell,trophectodermal cell,CL:1000274,extraembryonic cell
trophoblast cell,trophoblast cell,CL:0000351,extraembryonic cell
trophoblast progenitor cell,NA,NA,progenitor cell
trophoblast stem cell,NA,NA,stem cell
trophoblasts,trophoblast cell,CL:0000351,extraembryonic cell
type ii pneumocytes,type II pneumocyte,CL:0002063,epithelial cell
ureteric bud cell,NA,NA,ureteric bud cell
urothelial cell,urothelial cell,CL:0000731,epithelial cell
urothelium,urothelial cell,CL:0000731,epithelial cell
uterine epithelial cell,NA,NA,epithelial cell
vascular endothelial cell,endothelial cell of vascular tree,CL:0002139,endothelial cell
vascular smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,muscle cell
ventricle cardiomyocyte,ventricular cardiac muscle cell,CL:2000046,muscle cell
